feature,importance_mean,importance_std,p_value,significant_0_05
price_cubed,0.02,0.14035131799278378,0.02261199249130345,True
firm_id_98,0.015,0.15779574610057548,0.09018353839364106,False
firm_id_26,0.015,0.12185748327926257,0.04163030183350529,True
firm_id_63,0.015,0.12185748327926262,0.04163030183350529,True
price_squared_rolling_max_20,0.015,0.12185748327926259,0.04163030183350529,True
price/macro2_cubed_rolling_range_20,0.015,0.12185748327926257,0.04163030183350533,True
firm_id_29,0.015,0.12185748327926237,0.04163030183350533,True
firm_id_58,0.015,0.12185748327926249,0.04163030183350529,True
firm_id_3,0.015,0.15779574610057545,0.09018353839364113,False
firm_id_79,0.015,0.15779574610057584,0.09018353839364102,False
firm_id_18,0.01,0.0997484272744116,0.07890941809608895,False
firm_id_83,0.01,0.09974842727441163,0.07890941809608897,False
price_squared_rolling_avg_20,0.01,0.09974842727441165,0.07890941809608897,False
firm_id_50,0.01,0.09974842727441163,0.07890941809608897,False
firm_id_87,0.01,0.09974842727441162,0.07890941809608897,False
firm_id_25,0.01,0.09974842727441165,0.07890941809608897,False
firm_id_8,0.01,0.09974842727441163,0.07890941809608897,False
firm_id_60,0.01,0.09974842727441165,0.07890941809608897,False
firm_id_19,0.01,0.09974842727441162,0.07890941809608897,False
firm_id_36,0.005,0.07071067811865478,0.159262456159887,False
firm_id_72,0.005,0.07071067811865497,0.159262456159887,False
firm_id_57,0.005,0.07071067811865497,0.159262456159887,False
firm_id_4,0.005,0.0707106781186549,0.1592624561598871,False
firm_id_94,0.005,0.07071067811865511,0.1592624561598871,False
firm_id_93,0.005,0.07071067811865503,0.15926245615988704,False
firm_id_49,0.005,0.07071067811865508,0.1592624561598871,False
firm_id_89,0.005,0.07071067811865507,0.1592624561598871,False
firm_id_92,0.005,0.07071067811865503,0.15926245615988704,False
firm_id_31,0.005,0.07071067811865495,0.1592624561598871,False
firm_id_34,0.005,0.07071067811865499,0.159262456159887,False
firm_id_12,0.005,0.0707106781186548,0.159262456159887,False
firm_id_74,0.005,0.07071067811865481,0.159262456159887,False
firm_id_76,0.005,0.0707106781186551,0.1592624561598871,False
firm_id_73,0.005,0.07071067811865482,0.159262456159887,False
firm_id_9,0.005,0.07071067811865504,0.15926245615988704,False
firm_id_17,0.005,0.07071067811865477,0.159262456159887,False
firm_id_52,0.0,0.0,1.0,False
firm_id_47,0.0,0.0,1.0,False
firm_id_85,0.0,0.0,1.0,False
firm_id_55,0.0,0.0,1.0,False
firm_id_53,0.0,0.0,1.0,False
firm_id_86,0.0,0.0,1.0,False
firm_id_96,0.0,0.0,1.0,False
firm_id_41,0.0,0.0,1.0,False
firm_id_44,0.0,0.0,1.0,False
price_cubed_rolling_max_20,0.0,0.0,1.0,False
firm_id_65,0.0,0.0,1.0,False
macro2_cubed_rolling_min_20,0.0,0.0,1.0,False
macro2_cubed_rolling_max_20,0.0,0.0,1.0,False
price_cubed_rolling_min_20,0.0,0.0,1.0,False
firm_id_5,0.0,0.0,1.0,False
firm_id_71,0.0,0.0,1.0,False
firm_id_6,0.0,0.0,1.0,False
firm_id_11,0.0,0.0,1.0,False
firm_id_16,0.0,0.0,1.0,False
firm_id_13,0.0,0.0,1.0,False
firm_id_23,0.0,0.0,1.0,False
firm_id_22,0.0,0.0,1.0,False
firm_id_28,0.0,0.0,1.0,False
firm_id_40,0.0,0.0,1.0,False
firm_id_59,0.0,0.0,1.0,False
firm_id_80,0.0,0.0,1.0,False
